t_ns,t_s,utm_easting,utm_northing,altitude,hdop,latitude,longitude,zone,letter
1770477870030080962,0.0,331234.94195081596,4687771.168519866,14.5,0.79,42.323901666666664,-71.04817,19,T
1770477871025787551,0.9957065890000001,331235.49574927235,4687771.340361685,14.6,0.79,42.323903333333334,-71.04816333333333,19,T
1770477872033206435,2.0031254730000003,331236.04954769963,4687771.512203546,14.7,0.79,42.323905,-71.04815666666667,19,T
1770477873030829572,3.00074861,331236.8735607117,4687771.492361709,14.9,0.79,42.323905,-71.04814666666667,19,T
1770477874030428703,4.000347741000001,331237.5646945874,4687771.660896724,15.1,0.79,42.323906666666666,-71.04813833333333,19,T
1770477875030443428,5.000362466,331237.97224472766,4687771.465906075,15.4,0.79,42.323905,-71.04813333333334,19,T
1770477876029811901,5.999730939,331238.3842512353,4687771.4559852565,15.6,0.79,42.323905,-71.04812833333334,19,T
1770477877029513048,6.9994320860000006,331238.6633785717,4687771.6344412,15.7,0.79,42.323906666666666,-71.048125,19,T
1770477878032203920,8.002122958000001,331239.2127205656,4687771.621213501,15.8,0.79,42.323906666666666,-71.04811833333333,19,T
1770477893884885510,23.854804548,331239.9216795686,4687772.5300279725,18.0,0.8,42.323915,-71.04811,19,T
1770477894881587179,24.851506217,331240.05901504564,4687772.526721069,18.1,0.8,42.323915,-71.04810833333333,19,T
1770477895884477455,25.854396493000003,331240.05455874704,4687772.341651262,18.1,0.8,42.32391333333333,-71.04810833333333,19,T
1770477896881726906,26.851645944,331240.05455874704,4687772.341651262,18.1,0.8,42.32391333333333,-71.04810833333333,19,T
1770477897882005859,27.851924897,331239.90831066226,4687771.974818552,18.2,0.8,42.32391,-71.04811,19,T
1770477898877188243,28.847107281000003,331239.76651886466,4687771.793055652,18.2,0.8,42.323908333333335,-71.04811166666667,19,T
1770477899882968691,29.852887729000003,331238.95141855243,4687772.183036765,18.1,0.8,42.32391166666667,-71.04812166666666,19,T
1770477900875443966,30.845363004000003,331238.5394120885,4687772.192957552,18.0,0.8,42.32391166666667,-71.04812666666666,19,T
1770477901884750102,31.854669140000002,331237.7153991625,4687772.212799196,17.9,0.8,42.32391166666667,-71.04813666666666,19,T
1770477902882117521,32.852036559000005,331237.16605721356,4687772.226027014,17.8,0.8,42.32391166666667,-71.04814333333333,19,T
1770477903882087469,33.852006507,331237.0331781052,4687772.414403781,17.7,0.8,42.32391333333333,-71.048145,19,T
1770477904882041484,34.851960522,331236.7629635226,4687772.606087519,17.6,0.8,42.323915,-71.04814833333333,19,T
1770477905877734520,35.847653558000005,331236.3465006832,4687772.430938628,17.5,0.8,42.32391333333333,-71.04815333333333,19,T
1770477906876572832,36.84649187,331236.0673733131,4687772.2524827765,17.3,0.8,42.32391166666667,-71.04815666666667,19,T
1770477907879199875,37.849118913000005,331235.7927023373,4687772.2590967445,17.2,0.8,42.32391166666667,-71.04816,19,T
1770477908876478320,38.846397358000004,331235.5135749434,4687772.080640915,17.1,0.8,42.32391,-71.04816333333333,19,T
1770477909876469932,39.84638897,331235.3717830292,4687771.898878099,16.9,0.8,42.323908333333335,-71.048165,19,T
1770477910873701328,40.843620366,331235.09711204085,4687771.905492094,16.7,0.8,42.323908333333335,-71.04816833333334,19,T
1770477911875624461,41.845543499,331234.81798461435,4687771.727036294,16.6,0.8,42.323906666666666,-71.04817166666666,19,T
1770477912873979451,42.843898489000004,331234.40597811865,4687771.736957322,16.6,0.8,42.323906666666666,-71.04817666666666,19,T
1770477913882136119,43.852055157,331234.1268506668,4687771.558501545,16.4,0.8,42.323905,-71.04818,19,T
1770477914879631355,44.849550393,331233.84772320255,4687771.380045781,16.2,0.8,42.323903333333334,-71.04818333333333,19,T
1770477915879308352,45.84922739,331233.71038769535,4687771.383352807,16.1,0.8,42.323903333333334,-71.048185,19,T
1770477916879426341,46.849345379000006,331233.7014747663,4687771.013213191,16.0,0.8,42.3239,-71.048185,19,T
1770477917884640310,47.854559348,331233.01479719963,4687771.029748359,15.6,0.8,42.3239,-71.04819333333333,19,T
1770477918879366672,48.849285710000004,331232.877461685,4687771.0330554005,15.5,0.8,42.3239,-71.048195,19,T
1770477919879240029,49.849159067,331232.7356696827,4687770.851292637,15.2,0.8,42.32389833333333,-71.04819666666667,19,T
1770477920881973234,50.851892272,331232.59833416436,4687770.8545996845,15.0,0.8,42.32389833333333,-71.04819833333333,19,T
1770477921874344456,51.844263494,331232.59387767117,4687770.669529878,14.8,0.8,42.32389666666667,-71.04819833333333,19,T
1770477922879426393,52.849345431,331232.4520856567,4687770.487767118,14.5,0.8,42.323895,-71.0482,19,T
1770477923880451671,53.850370709,331232.31475013116,4687770.491074171,14.4,0.8,42.323895,-71.04820166666667,19,T
1770477924879288508,54.849207546,331232.31475013116,4687770.491074171,14.3,0.8,42.323895,-71.04820166666667,19,T
1770477925881950713,55.851869751,331232.17295810184,4687770.309311418,14.1,0.8,42.32389333333333,-71.04820333333333,19,T
1770477926874241195,56.844160233000004,331231.9027435564,4687770.5009953445,14.0,0.8,42.323895,-71.04820666666667,19,T
1770477927874028575,57.843947613000005,331232.040079082,4687770.497688284,13.7,0.8,42.323895,-71.048205,19,T
1770477928876369655,58.846288693000005,331231.76540803286,4687770.504302408,13.5,0.8,42.323895,-71.04820833333333,19,T
1770477929877191091,59.847110129,331231.63252902566,4687770.692679282,13.4,0.79,42.32389666666667,-71.04821,19,T
1770477930874280588,60.844199626000005,331231.4951935079,4687770.69598635,13.4,0.79,42.32389666666667,-71.04821166666666,19,T
1770477931876841140,61.846760178000004,331231.4951935079,4687770.69598635,13.3,0.79,42.32389666666667,-71.04821166666666,19,T
1770477932874300583,62.844219621,331231.3623145117,4687770.884363228,13.2,0.79,42.32389833333333,-71.04821333333334,19,T
1770477933875929221,63.84584825900001,331231.49965003005,4687770.881056157,13.2,0.79,42.32389833333333,-71.04821166666666,19,T
1770477934879979068,64.849898106,331231.3623145117,4687770.884363228,13.2,0.79,42.32389833333333,-71.04821333333334,19,T
1770477935880705598,65.850624636,331231.49965003005,4687770.881056157,13.3,0.79,42.32389833333333,-71.04821166666666,19,T
1770477936879860909,66.849779947,331231.3623145117,4687770.884363228,13.4,0.79,42.32389833333333,-71.04821333333334,19,T
1770477937882352984,67.85227202200001,331231.3667710377,4687771.069433036,13.4,0.79,42.3239,-71.04821333333334,19,T
1770477938879509256,68.849428294,331231.22943552287,4687771.072740111,13.4,0.79,42.3239,-71.048215,19,T
1770477939879175935,69.849094973,331231.22943552287,4687771.072740111,13.4,0.79,42.3239,-71.048215,19,T
1770477940873981448,70.84390048600001,331231.3712275638,4687771.254502844,13.4,0.79,42.323901666666664,-71.04821333333334,19,T
1770477941881093632,71.85101267,331231.508563075,4687771.251195773,13.4,0.79,42.323901666666664,-71.04821166666666,19,T
1770477942874265234,72.844184272,331231.508563075,4687771.251195773,13.5,0.79,42.323901666666664,-71.04821166666666,19,T
1770477943882242332,73.85216137,331231.5130195976,4687771.436265581,13.5,0.79,42.323903333333334,-71.04821166666666,19,T
1770477944879867712,74.84978675,331231.5130195976,4687771.436265581,13.5,0.79,42.323903333333334,-71.04821166666666,19,T
1770477945879916047,75.84983508500001,331231.5174761205,4687771.62133539,13.6,0.79,42.323905,-71.04821166666666,19,T
1770477946880126464,76.850045502,331231.5174761205,4687771.62133539,13.7,0.79,42.323905,-71.04821166666666,19,T
1770477947878865325,77.84878436300001,331231.5174761205,4687771.62133539,13.7,0.79,42.323905,-71.04821166666666,19,T
1770477948877064699,78.846983737,331231.5174761205,4687771.62133539,13.8,0.79,42.323905,-71.04821166666666,19,T
1770477949879651714,79.849570752,331231.5219326434,4687771.806405198,13.8,0.79,42.323906666666666,-71.04821166666666,19,T
1770477950876896874,80.84681591200001,331231.5219326434,4687771.806405198,13.9,0.79,42.323906666666666,-71.04821166666666,19,T
1770477951876594064,81.846513102,331231.5263891665,4687771.991475005,13.9,0.79,42.323908333333335,-71.04821166666666,19,T
1770477952876878046,82.846797084,331231.5263891665,4687771.991475005,13.9,0.79,42.323908333333335,-71.04821166666666,19,T
1770477953883326129,83.85324516700001,331231.5308456897,4687772.176544813,13.9,0.79,42.32391,-71.04821166666666,19,T
