t_ns,t_s,utm_easting,utm_northing,altitude,hdop,latitude,longitude,zone,letter
1770478516879623234,0.0,331228.22743370105,4687720.591676457,56.5,0.86,42.323445,-71.04823666666667,19,T
1770478517882632810,1.003009576,331228.2229771634,4687720.406606661,56.5,0.87,42.32344333333333,-71.04823666666667,19,T
1770478518874583614,1.9949603800000002,331228.364770207,4687720.588369353,56.5,0.87,42.323445,-71.048235,19,T
1770478519881984945,3.0023617110000003,331228.364770207,4687720.588369353,56.4,0.87,42.323445,-71.048235,19,T
1770478520874030232,3.994406998,331228.364770207,4687720.588369353,56.4,0.87,42.323445,-71.048235,19,T
1770478521879058648,4.999435414000001,331228.364770207,4687720.588369353,56.4,0.87,42.323445,-71.048235,19,T
1770478522873864132,5.994240898,331228.5021067108,4687720.585062251,56.4,0.87,42.323445,-71.04823333333333,19,T
1770478523874951785,6.995328551,331228.50656324136,4687720.770132047,56.4,0.87,42.32344666666667,-71.04823333333333,19,T
1770478524873462678,7.993839444000001,331228.50656324136,4687720.770132047,56.4,0.87,42.32344666666667,-71.04823333333333,19,T
1770478525876447782,8.996824548000001,331228.50656324136,4687720.770132047,56.4,0.87,42.32344666666667,-71.04823333333333,19,T
1770478526874075767,9.994452533,331228.6438997416,4687720.766824949,56.5,0.87,42.32344666666667,-71.04823166666667,19,T
1770478527873922137,10.994298903,331228.77677972056,4687720.578448056,56.5,0.87,42.323445,-71.04823,19,T
1770478528879137719,11.999514485,331228.7812362438,4687720.763517852,56.6,0.87,42.32344666666667,-71.04823,19,T
1770478529880446287,13.000823053000001,331228.92302926595,4687720.945280554,56.8,0.86,42.32344833333333,-71.04822833333333,19,T
1770478530879380111,13.999756877000001,331228.6528127958,4687721.136964538,57.0,0.86,42.32345,-71.04823166666667,19,T
1770478531881703828,15.002080594,331228.92302926595,4687720.945280554,57.2,0.86,42.32344833333333,-71.04822833333333,19,T
1770478532879300747,15.999677513000002,331229.1977022589,4687720.938666375,57.4,0.86,42.32344833333333,-71.048225,19,T
1770478533878915580,16.999292346,331229.3350387554,4687720.93535929,57.3,0.86,42.32344833333333,-71.04822333333334,19,T
1770478534874570094,17.994946860000002,331229.1977022589,4687720.938666375,57.3,0.86,42.32344833333333,-71.048225,19,T
1770478535880691572,19.001068338,331229.2066152844,4687721.308805966,57.2,0.86,42.323451666666664,-71.048225,19,T
1770478536873362514,19.99373928,331229.3439517736,4687721.30549888,57.2,0.86,42.323451666666664,-71.04822333333334,19,T
1770478537881192329,21.001569095,331229.62308125617,4687721.483954514,57.1,0.86,42.32345333333333,-71.04822,19,T
1770478538879686783,22.000063549,331229.76487424236,4687721.665717233,57.0,0.86,42.323455,-71.04821833333334,19,T
1770478539874516198,22.994892964,331230.3186766583,4687721.837558744,57.0,0.86,42.323456666666665,-71.04821166666666,19,T
1770478540879162986,23.999539752,331231.42628139874,4687722.1812419,57.0,0.86,42.32346,-71.04819833333333,19,T
1770478541874773933,24.995150699,331232.25030023,4687722.161399687,57.0,0.86,42.32346,-71.04818833333333,19,T
1770478542879026720,25.999403486000002,331232.9325261725,4687721.9597947905,57.1,0.86,42.323458333333335,-71.04818,19,T
1770478543875997261,26.996374027,331233.4685028718,4687721.391357372,57.2,0.86,42.32345333333333,-71.04817333333334,19,T
1770478544873744017,27.994120783000003,331234.1462725352,4687721.004682801,57.3,0.86,42.32345,-71.048165,19,T
1770478545872439334,28.992816100000002,331234.82404227566,4687720.618008297,57.3,1.08,42.32344666666667,-71.04815666666667,19,T
1770478872809662704,355.93003947,331421.9512190922,4687673.523933169,8.0,1.15,42.32306333333333,-71.04587333333333,19,T
1770478873806464380,356.926841146,331422.36323104193,4687673.5140233375,7.9,0.94,42.32306333333333,-71.04586833333333,19,T
1770478874810281657,357.930658423,331422.9081289773,4687673.315740506,7.9,0.94,42.32306166666667,-71.04586166666667,19,T
1770478875804169430,358.924546196,331423.3201409377,4687673.30583073,7.9,0.94,42.32306166666667,-71.04585666666667,19,T
1770478876809709596,359.930086362,331423.732152898,4687673.295920978,7.8,0.94,42.32306166666667,-71.04585166666666,19,T
1770478877807902009,360.928278775,331424.0068275387,4687673.28931449,7.8,0.94,42.32306166666667,-71.04584833333334,19,T
1770478878809472804,361.92984957000004,331424.14416486013,4687673.28601125,7.7,0.94,42.32306166666667,-71.04584666666666,19,T
1770478879815130107,362.935506873,331424.5517255316,4687673.091031789,7.7,0.94,42.32306,-71.04584166666666,19,T
1770478880805714577,363.926091343,331424.9637375024,4687673.08112211,7.7,0.94,42.32306,-71.04583666666667,19,T
